Facility, District,Hub
"Masaka Armoured Brigade H/C III (A/BDE)","Masaka","Masaka Hub"
"Nyendo H/C II","Masaka","Masaka Hub"
"Kako H/CIII","Masaka","Masaka Hub"
"Arahmah Medical Center","Masaka","Masaka Hub"
"Masaka Health Care Centre (Uganda Cares-Masaka)","Masaka","Masaka Hub"
"Crane Survey Masaka","Masaka","Masaka Hub"
"Bwijanga H/C IV","Masindi","Masindi Hub"
"Masindi Hospital","Masindi","Masindi Hub"
"TASO Masindi","Masindi","Masindi Hub"
"Kimengo H/C III","Masindi","Masindi Hub"
"Nyantonzi H/C III","Masindi","Masindi Hub"
"Ikoba H/C III","Masindi","Masindi Hub"
"Pakanyi H/C III","Masindi","Masindi Hub"
"Kyatiri H/C III","Masindi","Masindi Hub"
"Nyakitibwa H/C III","Masindi","Masindi Hub"
"Kijunjubwa H/C III","Masindi","Masindi Hub"
"FAD Military H/C IV (MMH)","Masindi","Masindi Hub"
"Karungu H/C III (Masindi)","Masindi","Kiryandongo Hub"
"Masindi-Kitara Medical Centre","Masindi","Masindi Hub"
"Masindi Prisons H/C III","Masindi","Masindi Hub"
"Kinyara H/C III","Masindi","Masindi Hub"
"Masindi Kitara Medical Centre","Masindi","Masindi Hub"
"Alimugonza H/C II","Masindi","Masindi Hub"
"PTS Kabalye H/C IV","Masindi","Masindi Hub"
"Kitanyata H/C III","Masindi","Masindi Hub"
"Baitambogwe H/C III","Mayuge","Kigandalo Hub"
"Buwaiswa H/C III","Mayuge","Kigandalo Hub"
"Kigandalo H/C IV","Mayuge","Kigandalo Hub"
"Kityerera H/C IV","Mayuge","Kigandalo Hub"
"Malongo H/C III","Mayuge","Kigandalo Hub"
"Mayuge H/C III (Mayuge)","Mayuge","Kigandalo Hub"
"Wabulungu H/C III","Mayuge","Kigandalo Hub"
"Buluba Hospital St Francis","Mayuge","Jinja Hub"
"Masolya H/C II","Mayuge","Kigandalo Hub"
"Jaguzi H/C II","Mayuge","Kigandalo Hub"
"Sagitu H/C II","Mayuge","Kigandalo Hub"
"Namoni H/C II","Mayuge","Iganga Hub"
"Bugoto H/C II","Mayuge","Kigandalo Hub"
"Bwondha HC II","Mayuge","Kigandalo Hub"
"Busala H/C II","Mayuge","Kigandalo Hub"
"Wandegeya H/C II(Kigandalo)","Mayuge","Kigandalo Hub"
"Katutaine H/C II","Mayuge","Kigandalo Hub"
"Mugi H/C II","Mayuge","Kigandalo Hub"
"Bwalula H/C II","Mayuge","Kigandalo Hub"
"Kitovu H/C II (Mayuge)","Mayuge","Kigandalo Hub"
"kaluba H/C II","Mayuge","Kigandalo Hub"
"Ntinkalu H/C II","Mayuge","Kigandalo Hub"
"Magamaga Army H/C III (Mayuge)","Mayuge","Kigandalo Hub"
"Bakalube H/C II","Mayuge","Kigandalo Hub"
"Bwiwula H/C II","Mayuge","Kigandalo Hub"
"Ikombe H/C II","Mayuge","Kigandalo Hub"
"Busuyi H/C II","Mayuge","Kigandalo Hub"
"Bukatube H/C II","Mayuge","Kigandalo Hub"
"Bufumbo H/C IV","Mbale","Mbale Hub"
"Bungokho Mutoto H/C III","Mbale","Mbale Hub"
"Busano H/C III","Mbale","Mbale Hub"
"Bushikori H/C III","Mbale","Mbale Hub"
"Busiu H/C IV","Mbale","Mbale Hub"
"Kolonyi H/C III","Mbale","Mbale Hub"
"Mbale R R Hospital","Mbale","Mbale Hub"
"Namakwekwe H/C III","Mbale","Mbale Hub"
"Namanyonyi H/C III","Mbale","Mbale Hub"
"Namawanga H/C III","Mbale","Mbale Hub"
"TASO Mbale","Mbale","Mbale Hub"
"Namatala H/C IV","Mbale","Mbale Hub"
"Kolonyi Hospital","Mbale","Mbale Hub"
"Nakaloke H/C III","Mbale","Mbale Hub"
"Malukhu H/C III","Mbale","Mbale Hub"
"Siira H/C III","Mbale","Mbale Hub"
"Joy Medical Center (Mbale)","Mbale","Mbale Hub"
"Mbale Main Prisons H/C III","Mbale","Mbale Hub"
"Bumadada H/C III","Mbale","Mbale Hub"
"Makhonje H/C III","Mbale","Mbale Hub"
"Mbale Police H/C III","Mbale","Mbale Hub"
"Mt.Elgon Hospital","Mbale","Mbale Hub"
"St Austin H/C II(Mbale)","Mbale","Mbale Hub"
"Lwangoli H/C III","Mbale","Mbale Hub"
"Naiku H/C III","Mbale","Mbale Hub"
"Wanale H/C III","Mbale","Mbale Hub"
"Aids Information Center(Mbale)","Mbale","Mbale Hub"
"Bunapongo H/C III","Mbale","Mbale Hub"
"Budwale H/C III","Mbale","Mbale Hub"
"Nyondo H/C III (Mbale)","Mbale","Mbale Hub"
"Busamaga H/C III","Mbale","Mbale Hub"
"Buwangwa H/C III","Mbale","Mbale Hub"
"Ahmadiyya H/C III","Mbale","Mbale Hub"
"Hope Medical Centre","Mbale","Mbale Hub"
"SDA H/C III (MBALE)","Mbale","Mbale Hub"
"St Martins H/C III (MBALE)","Mbale","Mbale Hub"
"Mbale Peoples Hospital","Mbale","Mbale Hub"
"Bumasikye H/C III","Mbale","Mbale Hub"
"Bukasakya H/C III","Mbale","Mbale Hub"
"Bukiende H/C III","Mbale","Mbale Hub"
"Jewa H/C III","Mbale","Mbale Hub"
"Joy Hospice","Mbale","Mbale Hub"
"Prof Wamukota MMC","Mbale","Mbale Hub"
"Crane Survey Mbale","Mbale","Mbale Hub"
"Bubaare H/C III (Mbarara)","Mbarara","Mbarara Hub"
"Bwizibwera H/C IV","Mbarara","Mbarara Hub"
"Kinoni H/C IV (Mbarara)","Mbarara","Mbarara Hub"
"Iss Clinic(Mbarara R R Hospital)","Mbarara","Mbarara Hub"
"Rubaya H/C III (Mbarara)","Mbarara","Mbarara Hub"
"TASO Mbarara","Mbarara","Mbarara Hub"
"Biharwe H/C III","Mbarara","Mbarara Hub"
"Kakoba Division H/C III","Mbarara","Mbarara Hub"
"Rubindi H/C III","Mbarara","Mbarara Hub"
"Mwizi H/C III","Mbarara","Mbarara Hub"
"Kagongi H/C III","Mbarara","Mbarara Hub"
"Ndeija H/C III","Mbarara","Mbarara Hub"
"MJAP-MMC  H/C IV","Mbarara","Mbarara Hub"
"Nyakayojo H/C III","Mbarara","Mbarara Hub"
"Kashare H/C III","Mbarara","Mbarara Hub"
"Bukiro H/C III","Mbarara","Mbarara Hub"
"Ruharo Mission Hospital","Mbarara","Mbarara Hub"
"AIDS Information Centre (Mbarara)","Mbarara","Mbarara Hub"
"Kamukuzi Division H/C II","Mbarara","Mbarara Hub"
"Mbarara Community Hospital","Mbarara","Mbarara Hub"
"Ruti H/C","Mbarara","Mbarara Hub"
"Nyamityobora H/C III","Mbarara","Mbarara Hub"
"Nyamitanga H/C III","Mbarara","Mbarara Hub"
"Bugamba H/C IV","Mbarara","Mbarara Hub"
"Rwemigina H/C II","Mbarara","Mbarara Hub"
"Karwensanga H/C II","Mbarara","Mbarara Hub"
"Mayanja Memorial Hospital","Mbarara","Mbarara Hub"
"Holy Innocent's Children's Hospital","Mbarara","Mbarara Hub"
"2nd DIV Military Hospital(Makenke)","Mbarara","Mbarara Hub"
"Kakiika Prisons","Mbarara","Mbarara Hub"
"Mbarara Central Prison H/C III","Mbarara","Mbarara Hub"
"Mbarara Police H/C III","Mbarara","Mbarara Hub"
"St Joseph's Rubindi H/C III","Mbarara","Mbarara Hub"
"St Francisca Makonje H/C II","Mbarara","Mbarara Hub"
"kyarwabuganda H/C III","Mbarara","Mbarara Hub"
"Nyaruhandagazi H/C III","Mbarara","Mbarara Hub"
"Crane Survey Mbarara","Mbarara","Mbarara Hub"
"Bitereko H/C III","Mitooma","Kitagata Hub"
"Mitooma H/C IV","Mitooma","Kitagata Hub"
"Kabira H/C III (Mitooma)","Mitooma","Kitagata Hub"
"Kashenshero H/C III","Mitooma","Kitagata Hub"
"Bubangizi H/C III","Mitooma","Kitagata Hub"
"Mutara H/C III","Mitooma","Kitagata Hub"
"Kanyabwanga H/C III","Mitooma","Kitagata Hub"
"Nyakatsiro H/C III","Mitooma","Kitagata Hub"
"Rwoburunga H/C III","Mitooma","Kitagata Hub"
"Rurama H/C II","Mitooma","Kitagata Hub"
"Null","Mitooma","Null"
"Mityana Hospital","Mityana","Mityana Hub"
"Mwera H/C IV","Mityana","Mityana Hub"
"St Luke KMD (Kiyinda )H/C III (Mityana)","Mityana","Mityana Hub"
"Ssekanyonyi H/C IV","Mityana","Mityana Hub"
"Maanyi H/C III","Mityana","Mityana Hub"
"Malangala H/C III","Mityana","Mityana Hub"
"Mayirye H/C III","Mityana","Mityana Hub"
"St Padre Pio H/C III Busunju","Mityana","Mityana Hub"
"Bulera H/C III","Mityana","Mityana Hub"
"Magala H/C III","Mityana","Mityana Hub"
"St Jacinta H/C III","Mityana","Mityana Hub"
"Kikandwa  H/C  III (Mityana)","Mityana","Mityana Hub"
"St Francis C H/C III (HOSFA)- Mityana","Mityana","Mityana Hub"
"Uganda Muslim Supreme Council H/C III","Mityana","Mityana Hub"
"Namutamba H/C III  COU  (Mityana)","Mityana","Mityana Hub"
"Kyantungo H/C IV","Mityana","Mityana Hub"
"Santa Maria Medical Care","Mityana","Mityana Hub"
"Kyamusisi H/C III","Mityana","Mityana Hub"
"Naama H/C III","Mityana","Mityana Hub"
"Lulagala H/C III","Mityana","Mityana Hub"
"Kitongo H/C III (Mityana)","Mityana","Mityana Hub"
"Kambaala H/C III","Mityana","Mityana Hub"
"Busunju H/C III","Mityana","Mityana Hub"
"Kabule H/C III","Mityana","Mityana Hub"
"Kalangaalo H/C II","Mityana","Mityana Hub"
"Mpongo H/C II","Mityana","Mityana Hub"
"Nakaseeta H/C II","Mityana","Mityana Hub"
"Mityana H/C III (UMSC)","Mityana","Mityana Hub"
"Namungo H/C II","Mityana","Mityana Hub"
"Our Lady Of The Sick Kambaala H/C III","Mityana","Mityana Hub"
"Kajoji H/C III","Mityana","Mityana Hub"
"Mityana Prison H/C","Mityana","Mityana Hub"
"Moroto R R Hospital","Moroto","Moroto Hub"
"Nadunget H/C III","Moroto","Moroto Hub"
"Moroto Army H/C IV","Moroto","Moroto Hub"
"Loputuk H/C III","Moroto","Moroto Hub"
"St Pius Kidepo Rupa H/C III","Moroto","Moroto Hub"
"Tapac H/C III","Moroto","Moroto Hub"
"Kosiroi H/C II","Moroto","Moroto Hub"
"Nakapelimen H/C II","Moroto","Moroto Hub"
"Rupa H/C II","Moroto","Moroto Hub"
"Nakiloro H/C II","Moroto","Moroto Hub"
"Moroto Prisons H/C III","Moroto","Moroto Hub"
"Gwere H/C II","Moyo","Moyo Hub"
"Metu H/C III","Moyo","Moyo Hub"
"Moyo Mission H/C III","Moyo","Moyo Hub"
"Eremi H/C III","Moyo","Moyo Hub"
"Moyo Hospital","Moyo","Moyo Hub"
"Obongi H/C IV","Moyo","Moyo Hub"
"Aliba H/C III","Moyo","Moyo Hub"
"Dufile H/C III","Moyo","Moyo Hub"
"Eria H/C III","Moyo","Moyo Hub"
"Itula H/C III","Moyo","Moyo Hub"
"Laropi H/C III","Moyo","Moyo Hub"
"Logoba H/C III","Moyo","Moyo Hub"
"Palorinya H/C III","Moyo","Moyo Hub"
"Lefori H/C III","Moyo","Moyo Hub"
"FR.Bilbao H/C III","Moyo","Moyo Hub"
"Luru H/C III","Moyo","Moyo Hub"
"Ariba H/C III","Moyo","Moyo Hub"
"Belle H/C IV","Moyo","Moyo Hub"
"Idiwa H/C III","Moyo","Moyo Hub"
"Kali H/C II","Moyo","Moyo Hub"
"Besia H/C III","Moyo","Moyo Hub"
"Mpigi H/C IV","Mpigi","Mpigi Hub"
"Nkozi Hospital","Mpigi","Mpigi Hub"
"Buwama H/C III","Mpigi","Mpigi Hub"
"Ggolo H/C III","Mpigi","Mpigi Hub"
"Bunjako H/C III","Mpigi","Mpigi Hub"
"St Monica H/C III (Katende)","Mpigi","Mpigi Hub"
"Bujuuko H/C III","Mpigi","Mpigi Hub"
"Sekiwunga H/C III","Mpigi","Mpigi Hub"
"Butoolo H/C III","Mpigi","Mpigi Hub"
"Kampiringisa H/C III","Mpigi","Mpigi Hub"
"Ggoli H/C III (Mpigi)","Mpigi","Mpigi Hub"
"Kituntu H/C III","Mpigi","Mpigi Hub"
"Nswanjere H/C III (St Joseph)","Mpigi","Mpigi Hub"
"Donna Medical Centre","Mpigi","Mpigi Hub"
"Double Cure Medical Centre","Mpigi","Mpigi Hub"
"Mitala Maria H/C III","Mpigi","Mpigi Hub"
"Kyaali H/C III (Mpigi )","Mpigi","Mpigi Hub"
"Nindye H/C III","Mpigi","Mpigi Hub"
"Muduma H/C III","Mpigi","Mpigi Hub"
"Buyiga H/C III","Mpigi","Mpigi Hub"
"Nabyewanga H/C II","Mpigi","Mpigi Hub"
"Bukasa H/C II (Mpigi)","Mpigi","Mpigi Hub"
"Fiduga Clinic","Mpigi","Mpigi Hub"
"Kibanga H/C III (St Elisabeth of thuringen )","Mpigi","Mpigi Hub"
"Epi Centre H/C II (Mpigi)","Mpigi","Mpigi Hub"
"Kiringente Epi H/C II","Mpigi","Mpigi Hub"
"St Luke H/C III (Kkonge)","Mpigi","Mpigi Hub"
"Watoto Suubi H/C III","Mpigi","Mpigi Hub"
"Bukuya H/C III","Mubende","Kassanda Hub"
"Kassanda H/C IV","Mubende","Kassanda Hub"
"Kiganda H/C IV","Mubende","Kassanda Hub"
"Mubende R R Hospital","Mubende","Mubende Hub"
"Mubende Rehabilitation Centre","Mubende","Mubende Hub"
"St Gabriel Mirembe Maria H/C III","Mubende","Kassanda Hub"
"Kitenga H/C III (Mubende)","Mubende","Mubende Hub"
"Kasambya H/C IV (Mubende)","Mubende","Mubende Hub"
"Madudu H/C III","Mubende","Kassanda Hub"
"Kabamba H/C III","Mubende","Mubende Hub"
"Musozi H/C III","Mubende","Kassanda Hub"
"Kiyuni H/C III (Mubende)","Mubende","Mubende Hub"
"Kalonga H/C III","Mubende","Mubende Hub"
"Myanzi H/C III (Mubende)","Mubende","Kassanda Hub"
"St Matia Mulumba H/C III (Mubende)","Mubende","Kassanda Hub"
"ST JOSEPH  H/ C III(Madudu)","Mubende","Kassanda Hub"
"Nabingoola H/C III","Mubende","Mubende Hub"
"Kibalinga H/C III","Mubende","Mubende Hub"
"Butoloogo H/C II (C/o Madudu H/C III)","Mubende","Mubende Hub"
"Kyakiddu H/C II","Mubende","Kassanda Hub"
"Peoples Medical Centre","Mubende","Kassanda Hub"
"Kitokolo H/C II","Mubende","Kassanda Hub"
"Kanseera H/C II","Mubende","Mubende Hub"
"Bweyongedde H/C II","Mubende","Kassanda Hub"
"Butawaata H/C III","Mubende","Mubende Hub"
"Mundadde H/C III","Mubende","Kassanda Hub"
"Mudade H/C III","Mubende","Kassanda Hub"
"Kikandwa  H/C  II (Mubende)","Mubende","Kassanda Hub"
"St Charles Medical Center","Mubende","Mubende Hub"
"Kabyuma H/C II","Mubende","Mubende Hub"
"Bbira H/C II (Mubende)","Mubende","Kassanda Hub"
"Kakigando H/C II","Mubende","Mubende Hub"
"Kaweeri Prisons H/C II","Mubende","Mubende Hub"
"Muinaina  Prison H/C II","Mubende","Mubende Hub"
"Mawujjo H/C II","Mubende","Mubende Hub"
"Kyenda H/C III","Mubende","Mubende Hub"
"Kojja H/C IV","Mukono","Mukono Hub"
"Mukono General Hospital","Mukono","Mukono Hub"
"Seeta Nazigo H/C III","Mukono","Mukono Hub"
"Mpunge H/C III (Mukono)","Mukono","Mukono Hub"
"Koome H/C III","Mukono","Mukono Hub"
"Nagojje H/C III","Mukono","Mukono Hub"
"Nabalanga H/C III","Mukono","Mukono Hub"
"Kyabazaala H/C III","Mukono","Mukono Hub"
"Katoogo H/C III","Mukono","Mukono Hub"
"Kasawo H/C III","Mukono","Mukono Hub"
"Kyampisi H/C III","Mukono","Mukono Hub"
"Goma H/C III","Mukono","Mukono Hub"
"Mukono Hospital C.O.U","Mukono","Mukono Hub"
"Bulika H/C II","Mukono","Mukono Hub"
"Nakifuma H/C III","Mukono","Mukono Hub"
"Kimenyedde H/C II","Mukono","Mukono Hub"
"Noahs Ark Family Clinic","Mukono","Mukono Hub"
"Mpuge H/C III","Mukono","Mukono Hub"
"Kyetume H/C III (Mukono)","Mukono","Mukono Hub"
"Kabanga H/C III","Mukono","Mukono Hub"
"Naggalama Hospital","Mukono","Mukono Hub"
"Royal Van Zanteen","Mukono","Mukono Hub"
"Kansambwe H/C II","Mukono","Mukono Hub"
"Ddamba H/C III","Mukono","Mukono Hub"
"Uganda Martyrs Hospital (Mbalala)","Mukono","Mukono Hub"
"Kairos H/C IV","Mukono","Mukono Hub"
"Ttakajunge H/C III","Mukono","Mukono Hub"
"Eseri Domiciliary Clinic","Mukono","Mukono Hub"
"Seeta-Namuganga","Mukono","Mukono Hub"
"Namuyenje H/C II","Mukono","Mukono Hub"
"Mbaliga H/C II","Mukono","Mukono Hub"
"Namuganga H/C III","Mukono","Mukono Hub"
"Kateete H/C II (Mukono)","Mukono","Mukono Hub"
"Kasawo Mission H/C II","Mukono","Mukono Hub"
"Katosi H/C IV","Mukono","Mukono Hub"
"Kauga Prison H/C III","Mukono","Mukono Hub"
"Kiyoola H/C II","Mukono","Mukono Hub"
"Kigogola H/C II","Mukono","Mukono Hub"
"Nama Wellness Centre","Mukono","Mukono Hub"
"Kikandwa H/C III","Mukono","Mukono Hub"
"Nantabulirwa H/C II","Mukono","Mukono Hub"
"Nabilatuk H/C IV","Nabilatuk","Tokora Hub"
"Lolachat H/C III","Nabilatuk","Tokora Hub"
"Lorengedwat H/C III","Nabilatuk","Tokora Hub"
"Tokora H/C IV","Nakapiripirit","Tokora Hub"
"407 Brigade H/C III","Nakapiripirit","Tokora Hub"
"Nakapiripirit H/C III","Nakapiripirit","Tokora Hub"
"St Mathias Amaler H/C III","Nakapiripirit","Tokora Hub"
"Namalu H/C III","Nakapiripirit","Tokora Hub"
"Karinga H/C II","Nakapiripirit","Tokora Hub"
"Natirae H/C II","Nakapiripirit","Tokora Hub"
"Nabulenger H/C II","Nakapiripirit","Tokora Hub"
"Lemusui H/C III","Nakapiripirit","Tokora Hub"
"Alakas H/C II","Nakapiripirit","Tokora Hub"
"Moruita H/C II","Nakapiripirit","Tokora Hub"
"Biddabugya H/C III","Nakaseke","Ngoma Hub"
"Kapeeka H/C III","Nakaseke","Ngoma Hub"
"Kirema H/C III","Nakaseke","Ngoma Hub"
"Kiwoko Hospital","Nakaseke","Ngoma Hub"
"Nakaseke  Hospital","Nakaseke","Ngoma Hub"
"Semuto H/C IV","Nakaseke","Ngoma Hub"
"Kikamulo H/C III","Nakaseke","Ngoma Hub"
"Wakyato H/C III","Nakaseke","Ngoma Hub"
"Ngoma H/C IV (Nakaseke)","Nakaseke","Ngoma Hub"
"Kaweweta H/C III","Nakaseke","Ngoma Hub"
"Kakoola H/C III","Nakaseke","Ngoma Hub"
"Kinyogoga H/C III","Nakaseke","Ngoma Hub"
"Kalagala H/C II (Nakaseke)","Nakaseke","Ngoma Hub"
"Kyangatto H/C II","Nakaseke","Ngoma Hub"
"Namuusale H/C II","Nakaseke","Ngoma Hub"
"St Thereza Kabogwe","Nakaseke","Ngoma Hub"
"Kabogwe H/C 11","Nakaseke","Ngoma Hub"
"KALEGE H/C II","Nakaseke","Ngoma Hub"
"Wansalangi H/C II","Nakaseke","Ngoma Hub"
"Lusanja H/C III","Nakaseke","Ngoma Hub"
"Singo H/C III","Nakaseke","Ngoma Hub"
"Nakasongola Military Hospital","Nakasongola","Nakasongola Hub"
"Nakasongola H/C IV","Nakasongola","Nakasongola Hub"
"Lwampanga H/C III","Nakasongola","Nakasongola Hub"
"Nakayonza H/C III","Nakasongola","Nakasongola Hub"
"Nakitoma H/C III","Nakasongola","Nakasongola Hub"
"Kakooge H/C III","Nakasongola","Nakasongola Hub"
"Kazwama H/C II","Nakasongola","Nakasongola Hub"
"Our Lady  of Lourdes H/C III (Nakasongola)","Nakasongola","Nakasongola Hub"
"Nabiswera H/C III","Nakasongola","Nakasongola Hub"
"Wabigalo H/C III","Nakasongola","Nakasongola Hub"
"Kalungi H/C III (Nakasongola)","Nakasongola","Nakasongola Hub"
"St Francis H/C   III Migyeera","Nakasongola","Nakasongola Hub"
"Luweero Industries","Nakasongola","Nakasongola Hub"
"Franciscan H/C KAKOOGE","Nakasongola","Nakasongola Hub"
"Bamugolodde H/C III","Nakasongola","Nakasongola Hub"
"Nakasongola Prison H/C III","Nakasongola","Nakasongola Hub"
"Kiralamba H/C III","Nakasongola","Nakasongola Hub"
"Kisaalizi H/C II","Nakasongola","Nakasongola Hub"
"Buyinja H/C IV","Namayingo","Buyinja Hub"
"Banda H/C III (Namayingo)","Namayingo","Buyinja Hub"
"Bumooli H/C III","Namayingo","Buyinja Hub"
"Sigulu H/C III","Namayingo","Buyinja Hub"
"Mutumba H/C III","Namayingo","Buyinja Hub"
"St Matia Mulumba H/C III (Namayingo)","Namayingo","Buyinja Hub"
"Singila H/C II","Namayingo","Buyinja Hub"
"Hukeseho H/C III","Namayingo","Buyinja Hub"
"Biwihi H/C II","Namayingo","Buyinja Hub"
"Busiro H/C III","Namayingo","Buyinja Hub"
"Bugaana H/C II","Namayingo","Buyinja Hub"
"Bugali H/C II","Namayingo","Buyinja Hub"
"Lolwe H/C III","Namayingo","Buyinja Hub"
"Bujwanga H/C II","Namayingo","Buyinja Hub"
"Buchumba H/C II","Namayingo","Buyinja Hub"
"Kandege H/C II","Namayingo","Buyinja Hub"
"Mulombi Health Centre II","Namayingo","Buyinja Hub"
"Rabachi H/C II","Namayingo","Buyinja Hub"
"Haama H/C II","Namayingo","Buyinja Hub"
"Syanyonja H/C II","Namayingo","Buyinja Hub"
"Bumalenga H/C II","Namayingo","Buyinja Hub"
"Lugala H/C II","Namayingo","Buyinja Hub"
"Bukimbi H/C II","Namayingo","Buyinja Hub"
"Taoky Medical Clinic","Namayingo","Buyinja Hub"
"Hama H/C II","Namayingo","Buyinja Hub"
"St Elizabeth H/C IV-Magale","Namisindwa","Tororo Hub"
"Bumwoni H/C III","Namisindwa","Tororo Hub"
"Bubutu H/C III","Namisindwa","Tororo Hub"
"Bumbo H/C III","Namisindwa","Tororo Hub"
"Bukhabusi H/C III","Namisindwa","Tororo Hub"
"Bupoto H/c III","Namisindwa","Tororo Hub"
"Buwabwala H/C III","Namisindwa","Tororo Hub"
"Buwasunguyi H/C III","Namisindwa","Tokora Hub"
"Bulange H/C III","Namutumba","Bugiri Hub"
"Ivukula H/C III","Namutumba","Bumanya Hub"
"Namutumba H/C  III (Namutumba)","Namutumba","Bumanya Hub"
"Nsinze H/C IV","Namutumba","Bumanya Hub"
"Bukonte H/C III","Namutumba","Bumanya Hub"
"Nabisoigi H/C III","Namutumba","Bumanya Hub"
"Magada H/C III","Namutumba","Bumanya Hub"
"Bukinge H/C III","Namutumba","Bugiri Hub"
"Morulinga H/C II","Napak","Apac Hub"
"Matany Hospital","Napak","Matany Hub"
"Lotome H/C III","Napak","Matany Hub"
"Iriiri H/C III","Napak","Matany Hub"
"Kangole H/C III","Napak","Matany Hub"
"Lokopo H/C III","Napak","Matany Hub"
"Apeitolim H/C II","Napak","Matany Hub"
"Lopeei H/C III","Napak","Matany Hub"
"Lorengechora H/C III","Napak","Matany Hub"
"Angal Hospital (St Luke)","Nebbi","Nebbi Hub"
"Nebbi Hospital","Nebbi","Nebbi Hub"
"Goli H/C IV (Nebbi)","Nebbi","Nebbi Hub"
"Paminya H/C III","Nebbi","Nebbi Hub"
"Kalowang H/C III","Nebbi","Nebbi Hub"
"Jupanziri H/C III","Nebbi","Nebbi Hub"
"Kucwiny H/C III","Nebbi","Nebbi Hub"
"Parombo H/C III","Nebbi","Nebbi Hub"
"Orussi H/C III","Nebbi","Nebbi Hub"
"Nyaravur H/C III","Nebbi","Nebbi Hub"
"Padwot Midyere H/C III","Nebbi","Nebbi Hub"
"Akworo H/C III","Nebbi","Nebbi Hub"
"Ngora H/C IV","Ngora","Ngora Hub"
"Mukura H/C III","Ngora","Ngora Hub"
"Kapir H/C III","Ngora","Ngora Hub"
"Ngora District Maternity H/C III","Ngora","Ngora Hub"
"Ajeluk H/C III","Ngora","Ngora Hub"
"Agu H/C III","Ngora","Ngora Hub"
"Kobwin H/C III","Ngora","Ngora Hub"
"St Anthony H/C II","Ngora","Ngora Hub"
"Atoot H/C II","Ngora","Ngora Hub"
"Opot H/C II","Ngora","Ngora Hub"
"Ngora Freda car Hospital (NGO)","Ngora","Ngora Hub"
"Omiito H/C II","Ngora","Ngora Hub"
"Ntoroko H/C III (Ntoroko)","Ntoroko","Bundibugyo Hub"
"Rwebisengo H/C III","Ntoroko","Bundibugyo Hub"
"Karugutu H/C IV(Ntoroko)","Ntoroko","Bundibugyo Hub"
"Stella Maris H/C III","Ntoroko","Bundibugyo Hub"
"Rwangara H/C II","Ntoroko","Bundibugyo Hub"
"401BDE Military H/C III","Ntoroko","FortPortal Hub"
"Itojo Hospital","Ntungamo","Itojo Hub"
"Ntungamo H/C III","Ntungamo","Itojo Hub"
"Rushooka H/C II","Ntungamo","Itojo Hub"
"Rwashamaire H/C IV","Ntungamo","Itojo Hub"
"Kitwe H/C IV","Ntungamo","Itojo Hub"
"Rubaare H/C IV (Ntungamo)","Ntungamo","Itojo Hub"
"Rukoni H/C III","Ntungamo","Itojo Hub"
"St Lucia Kagamba H/C III","Ntungamo","Itojo Hub"
"Rugarama H/C III","Ntungamo","Itojo Hub"
"Bwongyera H/C III","Ntungamo","Itojo Hub"
"Ngoma H/C III (Ntungamo)","Ntungamo","Itojo Hub"
"Butare H/C III (Ntungamo)","Ntungamo","Itojo Hub"
"Nyakyera H/C III","Ntungamo","Itojo Hub"
"Ruhaama H/C III","Ntungamo","Itojo Hub"
"Kitondo H/C III","Ntungamo","Itojo Hub"
"Rweikiniro H/C III","Ntungamo","Itojo Hub"
"Kayonza H/C III (Ntungamo)","Ntungamo","Itojo Hub"
"Ntungamo Prison H/C II","Ntungamo","Itojo Hub"
"Alero H/C III","Nwoya","Anaka Hub"
"Anaka Hospital","Nwoya","Anaka Hub"
"Koch Goma H/C III","Nwoya","Anaka Hub"
"Purongo H/C III","Nwoya","Anaka Hub"
"Latoro H/C II (Nwoya)","Nwoya","Anaka Hub"
"Ongako H/C III","Omoro","Lalogi Hub"
"Lacor Opit H/C III (Omoro)","Omoro","Lalogi Hub"
"Acet H/C II","Omoro","Lalogi Hub"
"Binya H/C II","Omoro","Lalogi Hub"
"Dino H/C II","Omoro","Lalogi Hub"
"Loyoajonga H/C II","Omoro","Lalogi Hub"
"Lukwir H/C II","Omoro","Lalogi Hub"
"Lujorongole H/C II","Omoro","Lalogi Hub"
"Awoo H/C II","Omoro","Lalogi Hub"
"Tekulu H/C II","Omoro","Lalogi Hub"
"Lelaobaro H/C II","Omoro","Lalogi Hub"
"St Joseph's Minakulu H/C II (Omoro)","Omoro","Lalogi Hub"
"Abwoch H/C II","Omoro","Lalogi Hub"
"St Luke H/C II","Omoro","Lalogi Hub"
"Koro Abili H/C II","Omoro","Lalogi Hub"
"Dream Center H/C III","Omoro","Lalogi Hub"
"Lakwatomer H/C III","Omoro","Lalogi Hub"
"Patuda H/C II","Omoro","Lalogi Hub"
"Alokolum H/C II","Omoro","Lalogi Hub"
"Bobi H/C III","Omoro","Lalogi Hub"
"Lalogi H/C IV","Omoro","Lalogi Hub"
"Lapainat H/C III","Omoro","Lalogi Hub"
"Odek H/C III","Omoro","Lalogi Hub"
"St Peters H/C II Awere","Omoro","Lalogi Hub"
"Lanenober H/C III","Omoro","Lalogi Hub"
"Mother Angio letta M.C","Omoro","Lalogi Hub"
"Okwongo H/C III","Otuke","Alebtong Hub"
"Olilim H/C III","Otuke","Alebtong Hub"
"Orum H/C IV","Otuke","Alebtong Hub"
"Okwang H/C III","Otuke","Lira Hub"
